UniqueId, UnlocalizedName, LocalizedName(if exist)
boron_nitride_solution, boron_nitride_solution, 氮化硼溶液
brine, brine, 盐水
calcium_sulfate_solution, calcium_sulfate_solution, 硫酸钙溶液
californium_249, californium_249, 熔融锎-249
californium_249_fluoride, californium_249_fluoride, 熔融氟化锎-249
californium_249_fluoride_flibe, californium_249_fluoride_flibe, 熔融氟锂铍盐-氟化锎-249
californium_250, californium_250, 熔融锎-250
californium_250_fluoride, californium_250_fluoride, 熔融氟化锎-250
californium_250_fluoride_flibe, californium_250_fluoride_flibe, 熔融氟锂铍盐-氟化锎-250
californium_251, californium_251, 熔融锎-251
californium_251_fluoride, californium_251_fluoride, 熔融氟化锎-251
californium_251_fluoride_flibe, californium_251_fluoride_flibe, 熔融氟锂铍盐-氟化锎-251
californium_252, californium_252, 熔融锎-252
californium_252_fluoride, californium_252_fluoride, 熔融氟化锎-252
californium_252_fluoride_flibe, californium_252_fluoride_flibe, 熔融氟锂铍盐-氟化锎-252
carbon_dioxide, carbon_dioxide, 二氧化碳
carbon_monoxide, carbon_monoxide, 一氧化碳
chocolate_liquor, chocolate_liquor, 可可浆
coal, coal, 液态煤炭
cocoa_butter, cocoa_butter, 可可脂
concrete, concrete, 液态混凝土
condensate_water, condensate_water, 冷凝水
copper, copper, 熔融铜
copper_nak, copper_nak, 共晶钠钾-铜混合物
copper_nak_hot, copper_nak_hot, 热共晶钠钾-铜混合物
corium, corium, 堆芯熔融物
creeper_acid, creeper_acid, 爬行者酸液
creosote, creosote, 杂酚油
cryotheum, cryotheum, 极寒之凛冰
cryotheum_nak, cryotheum_nak, 共晶钠钾-凛冰混合物
cryotheum_nak_hot, cryotheum_nak_hot, 热共晶钠钾-凛冰混合物
crystal, crystal, 黑曜石晶体
curium_243, curium_243, 熔融锔-243
curium_243_fluoride, curium_243_fluoride, 熔融氟化锔-243
curium_243_fluoride_flibe, curium_243_fluoride_flibe, 熔融氟锂铍盐-氟化锔-243
curium_245, curium_245, 熔融锔-245
curium_245_fluoride, curium_245_fluoride, 熔融氟化锔-245
curium_245_fluoride_flibe, curium_245_fluoride_flibe, 熔融氟锂铍盐-氟化锔-245
curium_246, curium_246, 熔融锔-246
curium_246_fluoride, curium_246_fluoride, 熔融氟化锔-246
curium_246_fluoride_flibe, curium_246_fluoride_flibe, 熔融氟锂铍盐-氟化锔-246
curium_247, curium_247, 熔融锔-247
curium_247_fluoride, curium_247_fluoride, 熔融氟化锔-247
curium_247_fluoride_flibe, curium_247_fluoride_flibe, 熔融氟锂铍盐-氟化锔-247
dark_chocolate, dark_chocolate, 熔融黑巧克力
depleted_fuel_hea_242, depleted_fuel_hea_242, 熔融枯竭高浓缩镅-242燃料
depleted_fuel_hea_242_fluoride, depleted_fuel_hea_242_fluoride, 熔融枯竭氟化高浓缩镅-242燃料
depleted_fuel_hea_242_fluoride_flibe, depleted_fuel_hea_242_fluoride_flibe, 熔融氟锂铍盐-枯竭高浓缩氟化镅-242燃料
depleted_fuel_heb_248, depleted_fuel_heb_248, 熔融枯竭高浓缩锫-248燃料
depleted_fuel_heb_248_fluoride, depleted_fuel_heb_248_fluoride, 熔融枯竭氟化高浓缩锫-248燃料
depleted_fuel_heb_248_fluoride_flibe, depleted_fuel_heb_248_fluoride_flibe, 熔融氟锂铍盐-枯竭高浓缩氟化锫-248燃料
depleted_fuel_hecf_249, depleted_fuel_hecf_249, 熔融枯竭高浓缩锎-249燃料
depleted_fuel_hecf_249_fluoride, depleted_fuel_hecf_249_fluoride, 熔融枯竭氟化高浓缩锎-249燃料
depleted_fuel_hecf_249_fluoride_flibe, depleted_fuel_hecf_249_fluoride_flibe, 熔融氟锂铍盐-枯竭高浓缩氟化锎-249燃料
depleted_fuel_hecf_251, depleted_fuel_hecf_251, 熔融枯竭高浓缩锎-251燃料
depleted_fuel_hecf_251_fluoride, depleted_fuel_hecf_251_fluoride, 熔融枯竭氟化高浓缩锎-251燃料
depleted_fuel_hecf_251_fluoride_flibe, depleted_fuel_hecf_251_fluoride_flibe, 熔融氟锂铍盐-枯竭高浓缩氟化锎-251燃料
depleted_fuel_hecm_243, depleted_fuel_hecm_243, 熔融枯竭高浓缩锔-243燃料
depleted_fuel_hecm_243_fluoride, depleted_fuel_hecm_243_fluoride, 熔融枯竭氟化高浓缩锔-243燃料
depleted_fuel_hecm_243_fluoride_flibe, depleted_fuel_hecm_243_fluoride_flibe, 熔融氟锂铍盐-枯竭高浓缩氟化锔-243燃料
depleted_fuel_hecm_245, depleted_fuel_hecm_245, 熔融枯竭高浓缩锔-245燃料
depleted_fuel_hecm_245_fluoride, depleted_fuel_hecm_245_fluoride, 熔融枯竭氟化高浓缩锔-245燃料
depleted_fuel_hecm_245_fluoride_flibe, depleted_fuel_hecm_245_fluoride_flibe, 熔融氟锂铍盐-枯竭高浓缩氟化锔-245燃料
depleted_fuel_hecm_247, depleted_fuel_hecm_247, 熔融枯竭高浓缩锔-247燃料
depleted_fuel_hecm_247_fluoride, depleted_fuel_hecm_247_fluoride, 熔融枯竭氟化高浓缩锔-247燃料
depleted_fuel_hecm_247_fluoride_flibe, depleted_fuel_hecm_247_fluoride_flibe, 熔融氟锂铍盐-枯竭高浓缩氟化锔-247燃料
depleted_fuel_hen_236, depleted_fuel_hen_236, 熔融枯竭高浓缩镎-236燃料
depleted_fuel_hen_236_fluoride, depleted_fuel_hen_236_fluoride, 熔融枯竭氟化高浓缩镎-236燃料
depleted_fuel_hen_236_fluoride_flibe, depleted_fuel_hen_236_fluoride_flibe, 熔融氟锂铍盐-枯竭高浓缩氟化镎-236燃料
depleted_fuel_hep_239, depleted_fuel_hep_239, 熔融枯竭高浓缩钚-239燃料
depleted_fuel_hep_239_fluoride, depleted_fuel_hep_239_fluoride, 熔融枯竭氟化高浓缩钚-239燃料
depleted_fuel_hep_239_fluoride_flibe, depleted_fuel_hep_239_fluoride_flibe, 熔融氟锂铍盐-枯竭高浓缩氟化钚-239燃料
depleted_fuel_hep_241, depleted_fuel_hep_241, 熔融枯竭高浓缩钚-241燃料
depleted_fuel_hep_241_fluoride, depleted_fuel_hep_241_fluoride, 熔融枯竭氟化高浓缩钚-241燃料
depleted_fuel_hep_241_fluoride_flibe, depleted_fuel_hep_241_fluoride_flibe, 熔融氟锂铍盐-枯竭高浓缩氟化钚-241燃料
depleted_fuel_heu_233, depleted_fuel_heu_233, 熔融枯竭高浓缩铀-233燃料
depleted_fuel_heu_233_fluoride, depleted_fuel_heu_233_fluoride, 熔融枯竭氟化高浓缩铀-233燃料
depleted_fuel_heu_233_fluoride_flibe, depleted_fuel_heu_233_fluoride_flibe, 熔融氟锂铍盐-枯竭高浓缩氟化铀-233燃料
depleted_fuel_heu_235, depleted_fuel_heu_235, 熔融枯竭高浓缩铀-235燃料
depleted_fuel_heu_235_fluoride, depleted_fuel_heu_235_fluoride, 熔融枯竭氟化高浓缩铀-235燃料
depleted_fuel_heu_235_fluoride_flibe, depleted_fuel_heu_235_fluoride_flibe, 熔融氟锂铍盐-枯竭高浓缩氟化铀-235燃料
depleted_fuel_lea_242, depleted_fuel_lea_242, 熔融枯竭低浓缩镅-242燃料
depleted_fuel_lea_242_fluoride, depleted_fuel_lea_242_fluoride, 熔融枯竭氟化低浓缩镅-242燃料
depleted_fuel_lea_242_fluoride_flibe, depleted_fuel_lea_242_fluoride_flibe, 熔融氟锂铍盐-枯竭低浓缩氟化镅-242燃料
depleted_fuel_leb_248, depleted_fuel_leb_248, 熔融枯竭低浓缩锫-248燃料
depleted_fuel_leb_248_fluoride, depleted_fuel_leb_248_fluoride, 熔融枯竭氟化低浓缩锫-248燃料
depleted_fuel_leb_248_fluoride_flibe, depleted_fuel_leb_248_fluoride_flibe, 熔融氟锂铍盐-枯竭低浓缩氟化锫-248燃料
depleted_fuel_lecf_249, depleted_fuel_lecf_249, 熔融枯竭低浓缩锎-249燃料
depleted_fuel_lecf_249_fluoride, depleted_fuel_lecf_249_fluoride, 熔融枯竭氟化低浓缩锎-249燃料
depleted_fuel_lecf_249_fluoride_flibe, depleted_fuel_lecf_249_fluoride_flibe, 熔融氟锂铍盐-枯竭低浓缩氟化锎-249燃料
depleted_fuel_lecf_251, depleted_fuel_lecf_251, 熔融枯竭低浓缩锎-251燃料
depleted_fuel_lecf_251_fluoride, depleted_fuel_lecf_251_fluoride, 熔融枯竭氟化低浓缩锎-251燃料
depleted_fuel_lecf_251_fluoride_flibe, depleted_fuel_lecf_251_fluoride_flibe, 熔融氟锂铍盐-枯竭低浓缩氟化锎-251燃料
depleted_fuel_lecm_243, depleted_fuel_lecm_243, 熔融枯竭低浓缩锔-243燃料
depleted_fuel_lecm_243_fluoride, depleted_fuel_lecm_243_fluoride, 熔融枯竭氟化低浓缩锔-243燃料
depleted_fuel_lecm_243_fluoride_flibe, depleted_fuel_lecm_243_fluoride_flibe, 熔融氟锂铍盐-枯竭低浓缩氟化锔-243燃料
depleted_fuel_lecm_245, depleted_fuel_lecm_245, 熔融枯竭低浓缩锔-245燃料
depleted_fuel_lecm_245_fluoride, depleted_fuel_lecm_245_fluoride, 熔融枯竭氟化低浓缩锔-245燃料
depleted_fuel_lecm_245_fluoride_flibe, depleted_fuel_lecm_245_fluoride_flibe, 熔融氟锂铍盐-枯竭低浓缩氟化锔-245燃料
depleted_fuel_lecm_247, depleted_fuel_lecm_247, 熔融枯竭低浓缩锔-247燃料
depleted_fuel_lecm_247_fluoride, depleted_fuel_lecm_247_fluoride, 熔融枯竭氟化低浓缩锔-247燃料
depleted_fuel_lecm_247_fluoride_flibe, depleted_fuel_lecm_247_fluoride_flibe, 熔融氟锂铍盐-枯竭低浓缩氟化锔-247燃料
depleted_fuel_len_236, depleted_fuel_len_236, 熔融枯竭低浓缩镎-236燃料
depleted_fuel_len_236_fluoride, depleted_fuel_len_236_fluoride, 熔融枯竭氟化低浓缩镎-236燃料
depleted_fuel_len_236_fluoride_flibe, depleted_fuel_len_236_fluoride_flibe, 熔融氟锂铍盐-枯竭低浓缩氟化镎-236燃料
depleted_fuel_lep_239, depleted_fuel_lep_239, 熔融枯竭低浓缩钚-239燃料
depleted_fuel_lep_239_fluoride, depleted_fuel_lep_239_fluoride, 熔融枯竭氟化低浓缩钚-239燃料
depleted_fuel_lep_239_fluoride_flibe, depleted_fuel_lep_239_fluoride_flibe, 熔融氟锂铍盐-枯竭低浓缩氟化钚-239燃料
depleted_fuel_lep_241, depleted_fuel_lep_241, 熔融枯竭低浓缩钚-241燃料
depleted_fuel_lep_241_fluoride, depleted_fuel_lep_241_fluoride, 熔融枯竭氟化低浓缩钚-241燃料
depleted_fuel_lep_241_fluoride_flibe, depleted_fuel_lep_241_fluoride_flibe, 熔融氟锂铍盐-枯竭低浓缩氟化钚-241燃料
depleted_fuel_leu_233, depleted_fuel_leu_233, 熔融枯竭低浓缩铀-233燃料
depleted_fuel_leu_233_fluoride, depleted_fuel_leu_233_fluoride, 熔融枯竭氟化低浓缩铀-233燃料
depleted_fuel_leu_233_fluoride_flibe, depleted_fuel_leu_233_fluoride_flibe, 熔融氟锂铍盐-枯竭低浓缩氟化铀-233燃料
depleted_fuel_leu_235, depleted_fuel_leu_235, 熔融枯竭低浓缩铀-235燃料
depleted_fuel_leu_235_fluoride, depleted_fuel_leu_235_fluoride, 熔融枯竭氟化低浓缩铀-235燃料
depleted_fuel_leu_235_fluoride_flibe, depleted_fuel_leu_235_fluoride_flibe, 熔融氟锂铍盐-枯竭低浓缩氟化铀-235燃料
depleted_fuel_tbu, depleted_fuel_tbu, 熔融枯竭TBU燃料
depleted_fuel_tbu_fluoride, depleted_fuel_tbu_fluoride, 熔融枯竭氟化TBU燃料
depleted_fuel_tbu_fluoride_flibe, depleted_fuel_tbu_fluoride_flibe, 熔融氟锂铍盐-枯竭TBU燃料
deuterium, deuterium, 氘
diamond, diamond, 熔融钻石
diamond_nak, diamond_nak, 共晶钠钾-钻石混合物
diamond_nak_hot, diamond_nak_hot, 热共晶钠钾-钻石混合物
diborane, diborane, 乙硼烷
diesel, diesel, 柴油
emerald, emerald, 熔融绿宝石
emerald_nak, emerald_nak, 共晶钠钾-绿宝石混合物
emerald_nak_hot, emerald_nak_hot, 热共晶钠钾-绿宝石混合物
ender, ender, 谐振末影珍珠
ender_nak, ender_nak, 共晶钠钾-末影混合物
ender_nak_hot, ender_nak_hot, 热共晶钠钾-末影混合物
ethanol, ethanol, 乙醇
ethene, ethene, 乙烯
exhaust_steam, exhaust_steam, 废蒸汽
ferroboron, ferroboron, 熔融硼铁合金
flibe, flibe, 熔融氟锂铍盐混合物
fluid_booze_apple_cider_ethereal, fluid_booze_apple_cider_ethereal, Silken Nectar
fluid_booze_apple_cider_extended, fluid_booze_apple_cider_extended, Apple Cider
fluid_booze_apple_cider_fermented, fluid_booze_apple_cider_fermented, Apple Cider
fluid_booze_apple_cider_intoxicated, fluid_booze_apple_cider_intoxicated, Apple Cider
fluid_booze_apple_cider_poisoned, fluid_booze_apple_cider_poisoned, Apple Cider
fluid_booze_apple_cider_potent, fluid_booze_apple_cider_potent, Apple Cider
fluid_booze_apple_juice, fluid_booze_apple_juice, Apple Juice
fluid_booze_green_ambrosia, fluid_booze_green_ambrosia, 仙馔密酒
fluid_booze_green_juice, fluid_booze_green_juice, 绿葡萄汁
fluid_booze_green_portwine, fluid_booze_green_portwine, 波特酒
fluid_booze_green_wine, fluid_booze_green_wine, 绿葡萄酒
fluid_booze_green_wine_extended, fluid_booze_green_wine_extended, 绿葡萄酒
fluid_booze_green_wine_intoxicated, fluid_booze_green_wine_intoxicated, 绿葡萄酒
fluid_booze_green_wine_poisoned, fluid_booze_green_wine_poisoned, 绿葡萄酒
fluid_booze_green_wine_potent, fluid_booze_green_wine_potent, 绿葡萄酒
fluid_booze_hopale_extended, fluid_booze_hopale_extended, 麦芽酒
fluid_booze_hopale_hyperextended, fluid_booze_hopale_hyperextended, 麦芽酒
fluid_booze_hopale_intoxicated, fluid_booze_hopale_intoxicated, 麦芽酒
fluid_booze_hopale_lager, fluid_booze_hopale_lager, 麦芽酒
fluid_booze_hopale_normal, fluid_booze_hopale_normal, 麦芽酒
fluid_booze_hopale_poisoned, fluid_booze_hopale_poisoned, 麦芽酒
fluid_booze_hopale_potent, fluid_booze_hopale_potent, 麦芽酒
fluid_booze_hopale_unhopped, fluid_booze_hopale_unhopped, 麦芽酒
fluid_booze_hopale_young, fluid_booze_hopale_young, 麦芽酒
fluid_booze_kumis_kumis_extended, fluid_booze_kumis_kumis_extended, Kumis Extended
fluid_booze_kumis_kumis_fermented, fluid_booze_kumis_kumis_fermented, Kumis Fermented
fluid_booze_kumis_kumis_hyperextended, fluid_booze_kumis_kumis_hyperextended, Kumis Hyper-Extended
fluid_booze_kumis_kumis_poisoned, fluid_booze_kumis_kumis_poisoned, Kumis
fluid_booze_kumis_kumis_potent, fluid_booze_kumis_kumis_potent, Kumis Potent
fluid_booze_kumis_kumis_potent_extended, fluid_booze_kumis_kumis_potent_extended, Kumis Potent Extended
fluid_booze_kumis_kumis_potent_hyperextended, fluid_booze_kumis_kumis_potent_hyperextended, Kumis Potent Hyper-Extended
fluid_booze_lager_extended, fluid_booze_lager_extended, 拉格啤酒
fluid_booze_lager_hyperextended, fluid_booze_lager_hyperextended, 拉格啤酒
fluid_booze_lager_intoxicated, fluid_booze_lager_intoxicated, 拉格啤酒
fluid_booze_lager_normal, fluid_booze_lager_normal, 拉格啤酒
fluid_booze_lager_poisoned, fluid_booze_lager_poisoned, 拉格啤酒
fluid_booze_lager_potent, fluid_booze_lager_potent, 拉格啤酒
fluid_booze_lager_young, fluid_booze_lager_young, 拉格啤酒
fluid_booze_mead_ethereal, fluid_booze_mead_ethereal, Magical Mead
fluid_booze_mead_extended, fluid_booze_mead_extended, Extended Mead
fluid_booze_mead_fermented, fluid_booze_mead_fermented, Mead
fluid_booze_mead_hyperextended, fluid_booze_mead_hyperextended, Hyper-Extended Mead
fluid_booze_mead_intoxicated, fluid_booze_mead_intoxicated, Intoxicated Mead
fluid_booze_mead_poisoned, fluid_booze_mead_poisoned, Mead
fluid_booze_mead_potent, fluid_booze_mead_potent, Potent Mead
fluid_booze_mead_young, fluid_booze_mead_young, Mead Must
fluid_booze_purple_ambrosia, fluid_booze_purple_ambrosia, 仙馔密酒
fluid_booze_purple_juice, fluid_booze_purple_juice, 紫葡萄汁
fluid_booze_purple_portwine, fluid_booze_purple_portwine, 波特酒
fluid_booze_purple_wine, fluid_booze_purple_wine, 紫葡萄酒
fluid_booze_purple_wine_extended, fluid_booze_purple_wine_extended, 紫葡萄酒
fluid_booze_purple_wine_intoxicated, fluid_booze_purple_wine_intoxicated, 紫葡萄酒
fluid_booze_purple_wine_poisoned, fluid_booze_purple_wine_poisoned, 紫葡萄酒
fluid_booze_purple_wine_potent, fluid_booze_purple_wine_potent, 紫葡萄酒
fluid_booze_red_ambrosia, fluid_booze_red_ambrosia, 仙馔密酒
fluid_booze_red_juice, fluid_booze_red_juice, 红葡萄汁
fluid_booze_red_portwine, fluid_booze_red_portwine, 波特酒
fluid_booze_red_wine, fluid_booze_red_wine, 红葡萄酒
fluid_booze_red_wine_extended, fluid_booze_red_wine_extended, 红葡萄酒
fluid_booze_red_wine_intoxicated, fluid_booze_red_wine_intoxicated, 红葡萄酒
fluid_booze_red_wine_poisoned, fluid_booze_red_wine_poisoned, 红葡萄酒
fluid_booze_red_wine_potent, fluid_booze_red_wine_potent, 红葡萄酒
fluid_booze_sake_extended, fluid_booze_sake_extended, Sake
fluid_booze_sake_fermented, fluid_booze_sake_fermented, Sake
fluid_booze_sake_hyperextended, fluid_booze_sake_hyperextended, Sake
fluid_booze_sake_mash, fluid_booze_sake_mash, Sake Mash
fluid_booze_sake_poisoned, fluid_booze_sake_poisoned, Sake
fluid_booze_sake_potent, fluid_booze_sake_potent, Sake
fluid_booze_sake_potent_extended, fluid_booze_sake_potent_extended, Sake
fluid_booze_sake_potent_hyperextended, fluid_booze_sake_potent_hyperextended, Sake
fluid_booze_sake_water, fluid_booze_sake_water, Rice Water
fluid_butter_milk, fluid_butter_milk, 酪乳
fluid_cheese_appenzeller, fluid_cheese_appenzeller, 阿彭策尔奶酪
fluid_cheese_asiago, fluid_cheese_asiago, 艾斯阿格奶酪
fluid_cheese_casu_marzu, fluid_cheese_casu_marzu, fluid.fluid_cheese_casu_marzu
fluid_cheese_cheddar, fluid_cheese_cheddar, 切达奶酪
fluid_cheese_emmentaler, fluid_cheese_emmentaler, 瑞士奶酪
fluid_cheese_gorgonzola, fluid_cheese_gorgonzola, 古冈左拉奶酪
fluid_cheese_gouda, fluid_cheese_gouda, Gouda Cheese
fluid_cheese_monterey, fluid_cheese_monterey, 蒙特瑞奶酪
fluid_cheese_parmesan, fluid_cheese_parmesan, 帕马森奶酪
fluid_cheese_provolone, fluid_cheese_provolone, Provolone Cheese
fluid_cheese_ricotta, fluid_cheese_ricotta, 里科塔奶酪
fluid_cream, fluid_cream, 奶油
fluid_honey, fluid_honey, 蜂蜜
fluid_milk, fluid_milk, 牛奶
fluid_milk_curds, fluid_milk_curds, 凝乳
fluid_pasteurized_milk, fluid_pasteurized_milk, 巴氏奶
fluid_rennet, fluid_rennet, 凝乳酶
fluid_skim_milk, fluid_skim_milk, 脱脂奶
fluid_whey, fluid_whey, 乳清
fluorine, fluorine, 氟
fluorite_water, fluorite_water, 氟化钙溶液
fluoromethane, fluoromethane, 氟代甲烷
foodoil, foodoil, fluid.foodoil
fuel_hea_242, fuel_hea_242, 熔融高浓缩镅-242燃料
fuel_hea_242_fluoride, fuel_hea_242_fluoride, 熔融氟化高浓缩镅-242燃料
fuel_hea_242_fluoride_flibe, fuel_hea_242_fluoride_flibe, 熔融氟锂铍盐-高浓缩氟化镅-242燃料
fuel_heb_248, fuel_heb_248, 熔融高浓缩锫-248燃料
fuel_heb_248_fluoride, fuel_heb_248_fluoride, 熔融氟化高浓缩锫-248燃料
fuel_heb_248_fluoride_flibe, fuel_heb_248_fluoride_flibe, 熔融氟锂铍盐-高浓缩氟化锫-248燃料
fuel_hecf_249, fuel_hecf_249, 熔融高浓缩锎-249燃料
fuel_hecf_249_fluoride, fuel_hecf_249_fluoride, 熔融氟化高浓缩锎-249燃料
fuel_hecf_249_fluoride_flibe, fuel_hecf_249_fluoride_flibe, 熔融氟锂铍盐-高浓缩氟化锎-249燃料
fuel_hecf_251, fuel_hecf_251, 熔融高浓缩锎-251燃料
fuel_hecf_251_fluoride, fuel_hecf_251_fluoride, 熔融氟化高浓缩锎-251燃料
fuel_hecf_251_fluoride_flibe, fuel_hecf_251_fluoride_flibe, 熔融氟锂铍盐-高浓缩氟化锎-251燃料
fuel_hecm_243, fuel_hecm_243, 熔融高浓缩锔-243燃料
fuel_hecm_243_fluoride, fuel_hecm_243_fluoride, 熔融氟化高浓缩锔-243燃料
fuel_hecm_243_fluoride_flibe, fuel_hecm_243_fluoride_flibe, 熔融氟锂铍盐-高浓缩氟化锔-243燃料
fuel_hecm_245, fuel_hecm_245, 熔融高浓缩锔-245燃料
fuel_hecm_245_fluoride, fuel_hecm_245_fluoride, 熔融氟化高浓缩锔-245燃料
fuel_hecm_245_fluoride_flibe, fuel_hecm_245_fluoride_flibe, 熔融氟锂铍盐-高浓缩氟化锔-245燃料
fuel_hecm_247, fuel_hecm_247, 熔融高浓缩锔-247燃料
fuel_hecm_247_fluoride, fuel_hecm_247_fluoride, 熔融氟化高浓缩锔-247燃料
fuel_hecm_247_fluoride_flibe, fuel_hecm_247_fluoride_flibe, 熔融氟锂铍盐-高浓缩氟化锔-247燃料
fuel_hen_236, fuel_hen_236, 熔融高浓缩镎-236燃料
fuel_hen_236_fluoride, fuel_hen_236_fluoride, 熔融氟化高浓缩镎-236燃料
fuel_hen_236_fluoride_flibe, fuel_hen_236_fluoride_flibe, 熔融氟锂铍盐-高浓缩氟化镎-236燃料
fuel_hep_239, fuel_hep_239, 熔融高浓缩钚-239燃料
fuel_hep_239_fluoride, fuel_hep_239_fluoride, 熔融氟化高浓缩钚-239燃料
fuel_hep_239_fluoride_flibe, fuel_hep_239_fluoride_flibe, 熔融氟锂铍盐-高浓缩氟化钚-239燃料
fuel_hep_241, fuel_hep_241, 熔融高浓缩钚-241燃料
fuel_hep_241_fluoride, fuel_hep_241_fluoride, 熔融氟化高浓缩钚-241燃料
fuel_hep_241_fluoride_flibe, fuel_hep_241_fluoride_flibe, 熔融氟锂铍盐-高浓缩氟化钚-241燃料
fuel_heu_233, fuel_heu_233, 熔融高浓缩铀-233燃料
fuel_heu_233_fluoride, fuel_heu_233_fluoride, 熔融氟化高浓缩铀-233燃料
fuel_heu_233_fluoride_flibe, fuel_heu_233_fluoride_flibe, 熔融氟锂铍盐-高浓缩氟化铀-233燃料
fuel_heu_235, fuel_heu_235, 熔融高浓缩铀-235燃料
fuel_heu_235_fluoride, fuel_heu_235_fluoride, 熔融氟化高浓缩铀-235燃料
fuel_heu_235_fluoride_flibe, fuel_heu_235_fluoride_flibe, 熔融氟锂铍盐-高浓缩氟化铀-235燃料
fuel_lea_242, fuel_lea_242, 熔融低浓缩镅-242燃料
fuel_lea_242_fluoride, fuel_lea_242_fluoride, 熔融氟化低浓缩镅-242燃料
fuel_lea_242_fluoride_flibe, fuel_lea_242_fluoride_flibe, 熔融氟锂铍盐-低浓缩氟化镅-242燃料
fuel_leb_248, fuel_leb_248, 熔融低浓缩锫-248燃料
fuel_leb_248_fluoride, fuel_leb_248_fluoride, 熔融氟化低浓缩锫-248燃料
fuel_leb_248_fluoride_flibe, fuel_leb_248_fluoride_flibe, 熔融氟锂铍盐-低浓缩氟化锫-248燃料
fuel_lecf_249, fuel_lecf_249, 熔融低浓缩锎-249燃料
fuel_lecf_249_fluoride, fuel_lecf_249_fluoride, 熔融氟化低浓缩锎-249燃料
fuel_lecf_249_fluoride_flibe, fuel_lecf_249_fluoride_flibe, 熔融氟锂铍盐-低浓缩氟化锎-249燃料
fuel_lecf_251, fuel_lecf_251, 熔融低浓缩锎-251燃料
fuel_lecf_251_fluoride, fuel_lecf_251_fluoride, 熔融氟化低浓缩锎-251燃料
fuel_lecf_251_fluoride_flibe, fuel_lecf_251_fluoride_flibe, 熔融氟锂铍盐-低浓缩氟化锎-251燃料
fuel_lecm_243, fuel_lecm_243, 熔融低浓缩锔-243燃料
fuel_lecm_243_fluoride, fuel_lecm_243_fluoride, 熔融氟化低浓缩锔-243燃料
fuel_lecm_243_fluoride_flibe, fuel_lecm_243_fluoride_flibe, 熔融氟锂铍盐-低浓缩氟化锔-243燃料
fuel_lecm_245, fuel_lecm_245, 熔融低浓缩锔-245燃料
fuel_lecm_245_fluoride, fuel_lecm_245_fluoride, 熔融氟化低浓缩锔-245燃料
fuel_lecm_245_fluoride_flibe, fuel_lecm_245_fluoride_flibe, 熔融氟锂铍盐-低浓缩氟化锔-245燃料
fuel_lecm_247, fuel_lecm_247, 熔融低浓缩锔-247燃料
fuel_lecm_247_fluoride, fuel_lecm_247_fluoride, 熔融氟化低浓缩锔-247燃料
fuel_lecm_247_fluoride_flibe, fuel_lecm_247_fluoride_flibe, 熔融氟锂铍盐-低浓缩氟化锔-247燃料
fuel_len_236, fuel_len_236, 熔融低浓缩镎-236燃料
fuel_len_236_fluoride, fuel_len_236_fluoride, 熔融氟化低浓缩镎-236燃料
fuel_len_236_fluoride_flibe, fuel_len_236_fluoride_flibe, 熔融氟锂铍盐-低浓缩氟化镎-236燃料
fuel_lep_239, fuel_lep_239, 熔融低浓缩钚-239燃料
