RegistryName, UnlocalizedName, LocalizedName(if exist)
openmodularturrets:bulletprojectile, entity.openmodularturrets:bulletProjectile.name, entity.openmodularturrets:bulletProjectile.name
openmodularturrets:blazingclayprojectile, entity.openmodularturrets:blazingClayProjectile.name, entity.openmodularturrets:blazingClayProjectile.name
sakura:deer, entity.sakura.Deer.name, entity.sakura.Deer.name
tofucraft:tofucow, entity.tofucraft.TofuCow.name, 豆腐牛
tofucraft:tofuslime, entity.tofucraft.TofuSlime.name, 豆腐史莱姆
tofucraft:tofunian, entity.tofucraft.Tofunian.name, 豆腐村民
tofucraft:tofuchinger, entity.tofucraft.TofuChinger.name, 豆腐咬咬怪
tofucraft:tofuspider, entity.tofucraft.TofuSpider.name, 豆腐蜘蛛
tofucraft:fukumame, entity.tofucraft.Fukumame.name, 福豆
tofucraft:zundaarrow, entity.tofucraft.ZundaArrow.name, entity.tofucraft.ZundaArrow.name
tofucraft:tofufish, entity.tofucraft.TofuFish.name, 豆腐鱼
tofucraft:tofuturret, entity.tofucraft.TofuTurret.name, 豆腐无人机
tofucraft:beam, entity.tofucraft.Beam.name, entity.tofucraft.Beam.name
tofucraft:tofumindcore, entity.tofucraft.TofuMindCore.name, 豆腐战士
tofucraft:tofugandlem, entity.tofucraft.TofuGandlem.name, 豆腐战神
tofucraft:falltofu, entity.tofucraft.FallTofu.name, entity.tofucraft.FallTofu.name
quark:stoneling, entity.quark:stoneling.name, 石头精灵
quark:archaeologist, entity.quark:archaeologist.name, 考古学家
quark:dweller, entity.quark:dweller.name, 穴居僵尸
quark:ashen, entity.quark:ashen.name, 穴居骷髅
quark:frog, entity.quark:frog.name, 青蛙
quark:pirate, entity.quark:pirate.name, 海盗
quark:wraith, entity.quark:wraith.name, 游魂
quark:pickarang, entity.quark:pickarang.name, Pickarang
quark:arrow_ender, entity.quark:arrow_ender.name, entity.quark:arrow_ender.name
quark:arrow_explosive, entity.quark:arrow_explosive.name, entity.quark:arrow_explosive.name
quark:arrow_torch, entity.quark:arrow_torch.name, entity.quark:arrow_torch.name
quark:dragon_breath_bottle, entity.quark:dragon_breath_bottle.name, entity.quark:dragon_breath_bottle.name
quark:soul_powder, entity.quark:soul_powder.name, entity.quark:soul_powder.name
quark:parrot_egg, entity.quark:parrot_egg.name, entity.quark:parrot_egg.name
quark:chest_passenger, entity.quark:chest_passenger.name, 箱子
quark:seat, entity.quark:seat.name, entity.quark:seat.name
quark:flat_item_frame, entity.quark:flat_item_frame.name, 扁平物品展示框
quark:leash_knot, entity.quark:leash_knot.name, entity.quark:leash_knot.name
quark:colored_item_frame, entity.quark:colored_item_frame.name, 染色物品展示框
quark:glass_item_frame, entity.quark:glass_item_frame.name, 玻璃物品展示框
bibliocraft:biblioseat, entity.SeatEntity.name, entity.SeatEntity.name
ichunutil:entity_block, entity.EntityBlock.name, 方块实体
techguns:genericprojectile, entity.GenericProjectile.name, entity.GenericProjectile.name
techguns:genericprojectileincendiary, entity.GenericProjectileIncendiary.name, entity.GenericProjectileIncendiary.name
techguns:rocketprojectile, entity.RocketProjectile.name, entity.RocketProjectile.name
techguns:stonebulletprojectile, entity.StoneBulletProjectile.name, entity.StoneBulletProjectile.name
techguns:biogunprojectile, entity.BioGunProjectile.name, entity.BioGunProjectile.name
techguns:flamethrowerprojectile, entity.FlamethrowerProjectile.name, entity.FlamethrowerProjectile.name
techguns:grenadeprojectile, entity.GrenadeProjectile.name, entity.GrenadeProjectile.name
techguns:grenade40mmprojectile, entity.Grenade40mmProjectile.name, entity.Grenade40mmProjectile.name
techguns:laserprojectile, entity.LaserProjectile.name, entity.LaserProjectile.name
techguns:teslaprojectile, entity.TeslaProjectile.name, entity.TeslaProjectile.name
techguns:ndrprojectile, entity.NDRProjectile.name, entity.NDRProjectile.name
techguns:blasterprojectile, entity.BlasterProjectile.name, entity.BlasterProjectile.name
techguns:gaussprojectile, entity.GaussProjectile.name, entity.GaussProjectile.name
techguns:advancedbulletprojectile, entity.AdvancedBulletProjectile.name, entity.AdvancedBulletProjectile.name
techguns:guidedmissileprojectile, entity.GuidedMissileProjectile.name, entity.GuidedMissileProjectile.name
techguns:deatomizerprojectile, entity.DeatomizerProjectile.name, entity.DeatomizerProjectile.name
techguns:alienblasterprojectile, entity.AlienBlasterProjectile.name, entity.AlienBlasterProjectile.name
techguns:sonicshotgunprojectile, entity.SonicShotgunProjectile.name, entity.SonicShotgunProjectile.name
techguns:cyberdemonblasterprojectile, entity.CyberdemonBlasterProjectile.name, entity.CyberdemonBlasterProjectile.name
techguns:powerhammerprojectile, entity.PowerHammerProjectile.name, entity.PowerHammerProjectile.name
techguns:chainsawprojectile, entity.ChainsawProjectile.name, entity.ChainsawProjectile.name
techguns:fraggrenadeprojectile, entity.FragGrenadeProjectile.name, entity.FragGrenadeProjectile.name
techguns:rocketprojectilenuke, entity.RocketProjectileNuke.name, entity.RocketProjectileNuke.name
techguns:tfgprojectile, entity.TFGProjectile.name, entity.TFGProjectile.name
techguns:genericprojectileexplosive, entity.GenericProjectileExplosive.name, entity.GenericProjectileExplosive.name
techguns:rocketprojectilehv, entity.RocketProjectileHV.name, entity.RocketProjectileHV.name
techguns:radiationentity, entity.RadiationEntity.name, entity.RadiationEntity.name
techguns:guidedmissileprojectilehv, entity.GuidedMissileProjectileHV.name, entity.GuidedMissileProjectileHV.name
techguns:turret, entity.techguns.Turret.name, 炮塔
techguns:tgdummyspawn, entity.techguns.DummySpawn.name, entity.techguns.DummySpawn.name
techguns:zombiesoldier, entity.techguns.ZombieSoldier.name, 僵尸士兵
techguns:zombiefarmer, entity.techguns.ZombieFarmer.name, 僵尸农夫
techguns:zombieminer, entity.techguns.ZombieMiner.name, 僵尸矿工
techguns:armysoldier, entity.techguns.ArmySoldier.name, 陆军
techguns:bandit, entity.techguns.Bandit.name, 土匪
techguns:commando, entity.techguns.Commando.name, 突击队
techguns:dictatordave, entity.techguns.DictatorDave.name, 独裁者戴夫
techguns:cyberdemon, entity.techguns.CyberDemon.name, 恶魔
techguns:skeletonsoldier, entity.techguns.SkeletonSoldier.name, 骷髅士兵
techguns:psychosteve, entity.techguns.PsychoSteve.name, 精神病史蒂夫
techguns:stormtrooper, entity.techguns.StormTrooper.name, 突击部队
techguns:outcast, entity.techguns.Outcast.name, 流浪者
techguns:zombiepigmansoldier, entity.techguns.ZombiePigmanSoldier.name, 僵尸猪人士兵
techguns:supermutantbasic, entity.techguns.SuperMutantBasic.name, 超级突变体
techguns:supermutantelite, entity.techguns.SuperMutantElite.name, 精英超级突变体
techguns:supermutantheavy, entity.techguns.SuperMutantHeavy.name, 重装超级突变体
techguns:attackhelicopter, entity.techguns.AttackHelicopter.name, 武装直升机
techguns:alienbug, entity.techguns.AlienBug.name, 外星虫
techguns:ghastling, entity.techguns.Ghastling.name, 恶灵
techguns:zombiepoliceman, entity.techguns.ZombiePoliceman.name, 僵尸警察
clumps:xp_orb_big, entity.xp_orb_big.name, entity.xp_orb_big.name
dmonsters:mutantsteve, entity.mutantSteve.name, 突变史蒂夫
dmonsters:freezer, entity.freezer.name, 霜冻异怪
dmonsters:climber, entity.climber.name, 攀爬者
dmonsters:zombiechicken, entity.zombieChicken.name, 僵尸鸡
dmonsters:baby, entity.baby.name, 腹中胎儿
dmonsters:wideman, entity.wideman.name, 堕落领袖
dmonsters:woman, entity.woman.name, 血腥少女
dmonsters:entrail, entity.entrail.name, 粘液飞头
dmonsters:present, entity.present.name, 礼盒怪
dmonsters:stranger, entity.stranger.name, 陌生人
dmonsters:hauntedcow, entity.hauntedcow.name, 闹鬼之牛
dmonsters:topielec, entity.topielec.name, 水鬼
dmonsters:luckyegg, entity.luckyEgg.name, entity.luckyEgg.name
dmonsters:dagon, entity.dagon.name, entity.dagon.name
openmods:block, entity.Block.name, entity.Block.name
openblocks:luggage, entity.openblocks.luggage.name, 行李箱
openblocks:xp_orb_no_fly, entity.openblocks.xp_orb_no_fly.name, entity.openblocks.xp_orb_no_fly.name
openblocks:hang_glider, entity.openblocks.hang_glider.name, entity.openblocks.hang_glider.name
openblocks:magnet, entity.openblocks.magnet.name, entity.openblocks.magnet.name
openblocks:mounted_block, entity.openblocks.mounted_block.name, entity.openblocks.mounted_block.name
openblocks:player_magnet, entity.openblocks.player_magnet.name, entity.openblocks.player_magnet.name
openblocks:cartographer, entity.openblocks.cartographer.name, 制图机器人
openblocks:item_projectile, entity.openblocks.item_projectile.name, entity.openblocks.item_projectile.name
openblocks:golden_eye, entity.openblocks.golden_eye.name, entity.openblocks.golden_eye.name
openblocks:mini_me, entity.openblocks.mini_me.name, 迷你替身
openblocks:glyph, entity.openblocks.glyph.name, entity.openblocks.glyph.name
matteroverdrive:failed_pig, entity.failed_pig.name, 失败品改造猪
matteroverdrive:failed_cow, entity.failed_cow.name, 失败品改造牛
matteroverdrive:failed_chicken, entity.failed_chicken.name, 失败品改造鸡
matteroverdrive:failed_sheep, entity.failed_sheep.name, 失败品改造羊
matteroverdrive:mad_scientist, entity.mad_scientist.name, 疯狂科学家
matteroverdrive:mutant_scientist, entity.mutant_scientist.name, 变异科学家
matteroverdrive:rogue_android, entity.rogue_android.name, 混战机械人
matteroverdrive:ranged_rogue_android, entity.ranged_rogue_android.name, 枪战机械人
matteroverdrive:drone, entity.drone.name, 无人机
avp:spear, entity.Spear.name, entity.Spear.name
avp:proximitymine, entity.ProximityMine.name, entity.ProximityMine.name
avp:plasma, entity.Plasma.name, entity.Plasma.name
avp:grenade, entity.Grenade.name, entity.Grenade.name
avp:flamethrower, entity.Flamethrower.name, entity.Flamethrower.name
avp:acidpool, entity.AcidPool.name, entity.AcidPool.name
avp:liquidlatexpool, entity.LiquidLatexPool.name, entity.LiquidLatexPool.name
avp:acidspit, entity.AcidSpit.name, entity.AcidSpit.name
avp:entitydisc, entity.EntityDisc.name, entity.EntityDisc.name
avp:entityshuriken, entity.EntityShuriken.name, entity.EntityShuriken.name
avp:entityturret, entity.EntityTurret.name, 炮塔
avp:nuke, entity.Nuke.name, entity.Nuke.name
avp:apc, entity.APC.name, APC
avp:mechanism, entity.MECHANISM.name, entity.MECHANISM.name
avp:medpod, entity.Medpod.name, entity.Medpod.name
avp:supplychute, entity.SupplyChute.name, entity.SupplyChute.name
avp:supplychutemarines, entity.SupplyChuteMarines.name, entity.SupplyChuteMarines.name
avp:supplychuteseegson, entity.SupplyChuteSeegson.name, entity.SupplyChuteSeegson.name
avp:sporepod, entity.SporePod.name, entity.SporePod.name
avp:runnerdrone, entity.RunnerDrone.name, 异形 追猎者
avp:runnerwarrior, entity.RunnerWarrior.name, 异形 追猎者战士
avp:drone, entity.Drone.name, 无人机
avp:warrior, entity.Warrior.name, 异形 战士
avp:spitter, entity.Spitter.name, 异形 酸吐者
avp:crusher, entity.Crusher.name, 异形 锤头
avp:praetorian, entity.Praetorian.name, 异形 禁卫
avp:marine, entity.Marine.name, 海军陆战队士兵
avp:yautja, entity.Yautja.name, 铁血战士
avp:queen, entity.Queen.name, 异形 王后
avp:facehugger, entity.Facehugger.name, 抱脸虫
avp:chestbuster, entity.Chestbuster.name, 破胸者
avp:ovamorph, entity.Ovamorph.name, 异形蛋
avp:royalfacehugger, entity.RoyalFacehugger.name, 王后 抱脸虫
avp:aquaalien, entity.AquaAlien.name, entity.AquaAlien.name
avp:predalien, entity.Predalien.name, 铁血异形
avp:combatsynthetic, entity.CombatSynthetic.name, 战斗合成物[智械]
avp:deacon, entity.Deacon.name, 工程师异形
avp:hammerpede, entity.Hammerpede.name, 锤形蠕虫
avp:trilobite, entity.Trilobite.name, 三叶虫
avp:spacejockey, entity.SpaceJockey.name, 太空骑士
avp:engineer, entity.Engineer.name, 工程师
avp:yautjaberserker, entity.YautjaBerserker.name, 狂暴铁血战士
avp:deaconshark, entity.DeaconShark.name, 执事鲨
avp:ultramorph, entity.Ultramorph.name, 终极异形
avp:goomutant, entity.GooMutant.name, 突变食尸鬼
avp:aethon, entity.Aethon.name, Aethon
avp:octohugger, entity.Octohugger.name, 白鲸抱脸虫
avp:belugaburster, entity.Belugaburster.name, 白鲸破胸者
avp:belugamorph, entity.Belugamorph.name, 白鲸异形
avp:predalienchestburster, entity.PredalienChestburster.name, 铁血异形 破胸者
avp:queenchestburster, entity.QueenChestburster.name, 王后 破胸者
avp:runnerchestburster, entity.RunnerChestburster.name, 追猎者 破胸者
avp:babyhead, entity.Babyhead.name, 逆种
avp:batxeno, entity.BatXeno.name, 蝙蝠异形
avp:boiler, entity.Boiler.name, 锅炉异形
avp:dracoburster, entity.Dracoburster.name, entity.Dracoburster.name
avp:dracoovamorph, entity.DracoOvamorph.name, Dracovamorph
avp:dracomorph, entity.Dracomorph.name, 天龙异形
avp:myceliomorph, entity.Myceliomorph.name, 菌丝异形
avp:pantheramorph, entity.Pantheramorph.name, 猎豹异形
avp:hellhound, entity.HellHound.name, 狱猎犬
avp:ursuidae, entity.Ursuidae.name, 狱野猪
avp:vardamonkey, entity.VardaMonkey.name, 狱狐猴
avp:yautjamutant, entity.YautjaMutant.name, 突变铁血战士
avp:deaconadult, entity.DeaconAdult.name, entity.DeaconAdult.name
cyclicmagic:tntblocksafebolt, entity.cyclicmagic.tntblocksafebolt.name, entity.cyclicmagic.tntblocksafebolt.name
cyclicmagic:tntminingbolt, entity.cyclicmagic.tntminingbolt.name, entity.cyclicmagic.tntminingbolt.name
cyclicmagic:blazebolt, entity.cyclicmagic.blazebolt.name, entity.cyclicmagic.blazebolt.name
cyclicmagic:ender_eye_orb, entity.cyclicmagic.ender_eye_orb.name, entity.cyclicmagic.ender_eye_orb.name
cyclicmagic:torchbolt, entity.cyclicmagic.torchbolt.name, entity.cyclicmagic.torchbolt.name
cyclicmagic:dungeonbolt, entity.cyclicmagic.dungeonbolt.name, entity.cyclicmagic.dungeonbolt.name
cyclicmagic:lightningbolt, entity.cyclicmagic.lightningbolt.name, entity.cyclicmagic.lightningbolt.name
cyclicmagic:tntbolt, entity.cyclicmagic.tntbolt.name, entity.cyclicmagic.tntbolt.name
cyclicmagic:woolbolt, entity.cyclicmagic.woolbolt.name, entity.cyclicmagic.woolbolt.name
cyclicmagic:magicnetfull, entity.cyclicmagic.magicnetfull.name, entity.cyclicmagic.magicnetfull.name
cyclicmagic:magicnetempty, entity.cyclicmagic.magicnetempty.name, entity.cyclicmagic.magicnetempty.name
cyclicmagic:frostbolt, entity.cyclicmagic.frostbolt.name, entity.cyclicmagic.frostbolt.name
cyclicmagic:magic_missile, entity.cyclicmagic.magic_missile.name, entity.cyclicmagic.magic_missile.name
cyclicmagic:boomerang, entity.cyclicmagic.boomerang.name, entity.cyclicmagic.boomerang.name
cyclicmagic:slingshot_bullet, entity.cyclicmagic.slingshot_bullet.name, entity.cyclicmagic.slingshot_bullet.name
mekanism:obsidiantnt, entity.ObsidianTNT.name, entity.ObsidianTNT.name
mekanism:robit, entity.Robit.name, 机器人
mekanism:balloon, entity.Balloon.name, entity.Balloon.name
mekanism:babyskeleton, entity.BabySkeleton.name, 骷髅射手宝宝
mekanism:flame, entity.Flame.name, entity.Flame.name
mowziesmobs:foliaath, entity.foliaath.name, 巨噬叶
mowziesmobs:baby_foliaath, entity.baby_foliaath.name, 巨噬叶幼苗
mowziesmobs:ferrous_wroughtnaut, entity.ferrous_wroughtnaut.name, 钢铁守护者
mowziesmobs:barakoan_barakoana, entity.barakoan_barakoana.name, 游猎原始人
mowziesmobs:barakoana, entity.barakoana.name, 游猎原始人首领
mowziesmobs:barakoaya, entity.barakoaya.name, 聚居原始人
mowziesmobs:barakoan_player, entity.barakoan_player.name, 仆从原始人
mowziesmobs:barako, entity.barako.name, 太阳酋长
mowziesmobs:frostmaw, entity.frostmaw.name, 冰霜巨口
mowziesmobs:grottol, entity.grottol.name, 钻石居蟹
mowziesmobs:lantern, entity.lantern.name, 鬼灯笼
mowziesmobs:naga, entity.naga.name, 飞蛇纳迦
mowziesmobs:sunstrike, entity.sunstrike.name, entity.sunstrike.name
mowziesmobs:solar_beam, entity.solar_beam.name, entity.solar_beam.name
mowziesmobs:boulder, entity.boulder.name, entity.boulder.name
mowziesmobs:axe_attack, entity.axe_attack.name, entity.axe_attack.name
mowziesmobs:icebreath, entity.icebreath.name, entity.icebreath.name
mowziesmobs:ice_ball, entity.ice_ball.name, 冰结球
mowziesmobs:frozen_controller, entity.frozen_controller.name, entity.frozen_controller.name
mowziesmobs:ring, entity.ring.name, entity.ring.name
mowziesmobs:dart, entity.dart.name, entity.dart.name
mowziesmobs:poison_ball, entity.poison_ball.name, entity.poison_ball.name
mowziesmobs:block_swapper, entity.block_swapper.name, entity.block_swapper.name
nuclearphysics:particle, entity.nuclearphysics:particle.name, entity.nuclearphysics:particle.name
immersiveengineering:revolvershot, entity.revolverShot.name, entity.revolverShot.name
immersiveengineering:skylinehook, entity.skylineHook.name, entity.skylineHook.name
immersiveengineering:revolvershothoming, entity.revolverShotHoming.name, entity.revolverShotHoming.name
immersiveengineering:revolvershotwolfpack, entity.revolverShotWolfpack.name, entity.revolverShotWolfpack.name
immersiveengineering:chemthrowershot, entity.chemthrowerShot.name, entity.chemthrowerShot.name
immersiveengineering:railgunshot, entity.railgunShot.name, entity.railgunShot.name
immersiveengineering:revolvershotflare, entity.revolverShotFlare.name, entity.revolverShotFlare.name
immersiveengineering:explosive, entity.explosive.name, entity.explosive.name
immersiveengineering:fluorescenttube, entity.fluorescentTube.name, entity.fluorescentTube.name
nuclearcraft:feral_ghoul, entity.nuclearcraft.feral_ghoul.name, 野生食尸鬼
opencomputers:drone, entity.Drone.name, 无人机
coroutil:bat_smart, entity.bat_smart.name, entity.bat_smart.name
zombieawareness:entityscent, entity.EntityScent.name, entity.EntityScent.name
academy:entityblock, entity.EntityBlock.name, 方块实体
academy:entitycointhrowing, entity.EntityCoinThrowing.name, entity.EntityCoinThrowing.name
academy:entitymaghook, entity.EntityMagHook.name, entity.EntityMagHook.name
academy:entitymdball, entity.EntityMdBall.name, entity.EntityMdBall.name
academy:entitysilbarn, entity.EntitySilbarn.name, entity.EntitySilbarn.name
academy:magmanipentityblock, entity.MagManipEntityBlock.name, entity.MagManipEntityBlock.name
skyresources:heavysnowball, entity.skyresources:heavysnowball.name, entity.skyresources:heavysnowball.name
skyresources:heavyexplosivesnowball, entity.skyresources:heavyexplosivesnowball.name, entity.skyresources:heavyexplosivesnowball.name
survivalist:thrown_rock, entity.ThrownRock.name, entity.ThrownRock.name
minecraft:lightning_bolt, entity.null.name, entity.null.name
#output time is 17 ms.
