RegistryName, LocalizedName(if exist), ParentAdvancementLocalizedName
triumph:vanilla/recipes/brewing/speckled_melon, triumph:vanilla/recipes/brewing/speckled_melon, triumph:vanilla/recipes/root
triumph:example/root, triumph:example/root, No Parent
triumph:example/example_count, triumph:example/example_count, triumph:example/root
triumph:vanilla/nether/brew_potion, triumph:vanilla/nether/brew_potion, triumph:vanilla/nether/obtain_blaze_rod
triumph:vanilla/story/follow_ender_eye, triumph:vanilla/story/follow_ender_eye, triumph:vanilla/story/enter_the_nether
triumph:vanilla/story/shiny_gear, triumph:vanilla/story/shiny_gear, triumph:vanilla/story/mine_diamond
triumph:vanilla/recipes/brewing/cauldron, triumph:vanilla/recipes/brewing/cauldron, triumph:vanilla/recipes/root
triumph:vanilla/nether/all_effects, triumph:vanilla/nether/all_effects, triumph:vanilla/nether/all_potions
triumph:vanilla/nether/create_full_beacon, triumph:vanilla/nether/create_full_beacon, triumph:vanilla/nether/create_beacon
triumph:vanilla/end/enter_end_gateway, triumph:vanilla/end/enter_end_gateway, triumph:vanilla/end/kill_dragon
triumph:vanilla/end/root, triumph:vanilla/end/root, No Parent
triumph:vanilla/recipes/root, triumph:vanilla/recipes/root, No Parent
triumph:example/example_enter_dimension, triumph:example/example_enter_dimension, triumph:example/root
triumph:vanilla/nether/fast_travel, triumph:vanilla/nether/fast_travel, triumph:vanilla/nether/root
triumph:vanilla/story/upgrade_tools, triumph:vanilla/story/upgrade_tools, triumph:vanilla/story/mine_stone
triumph:example/example_right_click_block, triumph:example/example_right_click_block, triumph:example/root
triumph:vanilla/recipes/brewing/brewing_stand, triumph:vanilla/recipes/brewing/brewing_stand, triumph:vanilla/recipes/root
triumph:example/example_bred_animals, triumph:example/example_bred_animals, triumph:example/root
triumph:vanilla/adventure/root, triumph:vanilla/adventure/root, No Parent
triumph:example/example_hurt_entity, triumph:example/example_hurt_entity, triumph:example/root
triumph:vanilla/adventure/kill_a_mob, triumph:vanilla/adventure/kill_a_mob, triumph:vanilla/adventure/root
triumph:example/example_location_worldtype, triumph:example/example_location_worldtype, triumph:example/root
triumph:example/example_tame_animal, triumph:example/example_tame_animal, triumph:example/root
triumph:vanilla/recipes/brewing/golden_carrot, triumph:vanilla/recipes/brewing/golden_carrot, triumph:vanilla/recipes/root
triumph:vanilla/husbandry/break_diamond_hoe, triumph:vanilla/husbandry/break_diamond_hoe, triumph:vanilla/husbandry/plant_seed
triumph:vanilla/end/kill_dragon, triumph:vanilla/end/kill_dragon, triumph:vanilla/end/root
triumph:vanilla/husbandry/plant_seed, triumph:vanilla/husbandry/plant_seed, triumph:vanilla/husbandry/root
triumph:example/example_enchanted_item, triumph:example/example_enchanted_item, triumph:example/root
triumph:vanilla/story/cure_zombie_villager, triumph:vanilla/story/cure_zombie_villager, triumph:vanilla/story/enter_the_nether
triumph:vanilla/nether/return_to_sender, triumph:vanilla/nether/return_to_sender, triumph:vanilla/nether/root
triumph:vanilla/husbandry/root, triumph:vanilla/husbandry/root, No Parent
triumph:example/example_consume_item, triumph:example/example_consume_item, triumph:example/root
triumph:vanilla/nether/get_wither_skull, triumph:vanilla/nether/get_wither_skull, triumph:vanilla/nether/find_fortress
triumph:vanilla/adventure/kill_all_mobs, triumph:vanilla/adventure/kill_all_mobs, triumph:vanilla/adventure/kill_a_mob
triumph:vanilla/nether/all_potions, triumph:vanilla/nether/all_potions, triumph:vanilla/nether/brew_potion
triumph:vanilla/story/obtain_armor, triumph:vanilla/story/obtain_armor, triumph:vanilla/story/smelt_iron
triumph:vanilla/adventure/sniper_duel, triumph:vanilla/adventure/sniper_duel, triumph:vanilla/adventure/shoot_arrow
triumph:example/example_left_click_block, triumph:example/example_left_click_block, triumph:example/root
triumph:vanilla/nether/find_fortress, triumph:vanilla/nether/find_fortress, triumph:vanilla/nether/root
triumph:vanilla/nether/create_beacon, triumph:vanilla/nether/create_beacon, triumph:vanilla/nether/summon_wither
triumph:example/example_right_click_item, triumph:example/example_right_click_item, triumph:example/root
triumph:example/example_impossible, triumph:example/example_impossible, triumph:example/root
triumph:vanilla/nether/obtain_blaze_rod, triumph:vanilla/nether/obtain_blaze_rod, triumph:vanilla/nether/find_fortress
triumph:example/example_enter_biome, triumph:example/example_enter_biome, triumph:example/root
triumph:example/example_player_death, triumph:example/example_player_death, triumph:example/root
triumph:example/example_enter_block, triumph:example/example_enter_block, triumph:example/root
triumph:vanilla/story/deflect_arrow, triumph:vanilla/story/deflect_arrow, triumph:vanilla/story/obtain_armor
triumph:example/example_location_dimid, triumph:example/example_location_dimid, triumph:example/root
triumph:vanilla/recipes/brewing/blaze_powder, triumph:vanilla/recipes/brewing/blaze_powder, triumph:vanilla/recipes/root
triumph:example/example_harvest_block, triumph:example/example_harvest_block, triumph:example/root
triumph:vanilla/recipes/brewing/magma_cream, triumph:vanilla/recipes/brewing/magma_cream, triumph:vanilla/recipes/root
triumph:vanilla/recipes/brewing/glass_bottle, triumph:vanilla/recipes/brewing/glass_bottle, triumph:vanilla/recipes/root
triumph:vanilla/end/elytra, triumph:vanilla/end/elytra, triumph:vanilla/end/find_end_city
triumph:example/example_inventory_changed, triumph:example/example_inventory_changed, triumph:example/root
triumph:vanilla/story/lava_bucket, triumph:vanilla/story/lava_bucket, triumph:vanilla/story/smelt_iron
triumph:example/example_all_rewards, triumph:example/example_all_rewards, triumph:example/root
triumph:vanilla/husbandry/balanced_diet, triumph:vanilla/husbandry/balanced_diet, triumph:vanilla/husbandry/plant_seed
triumph:example/example_villager_trade, triumph:example/example_villager_trade, triumph:example/root
#output time is 2 ms.
